Killed,Killed Class,Death Type,Death Class,X,Y,Z,Grid,Killed By,Killed By Class,Year,Month,Day,Hour,Minute
,,NA,,0,0,0,000877,Error: No vehicle,,1985,5,10,8,4
,,NA,,0,0,0,000877,Error: No vehicle,,1985,5,10,8,4
,,NA,,0,0,0,000877,Error: No vehicle,,1985,5,10,8,4
,,NA,,0,0,0,000877,Error: No vehicle,,1985,5,10,8,4
,,NA,,0,0,0,000877,Error: No vehicle,,1985,5,10,8,4
,,NA,,0,0,0,000877,Error: No vehicle,,1985,5,10,8,4
,,NA,,0,0,0,000877,Error: No vehicle,,1985,5,10,8,4
,,NA,,0,0,0,000877,Error: No vehicle,,1985,5,10,8,4
,,NA,,0,0,0,000877,Error: No vehicle,,1985,5,10,8,4
,,NA,,0,0,0,000877,Error: No vehicle,,1985,5,10,8,4
,,NA,,0,0,0,000877,Error: No vehicle,,1985,5,10,8,4
,,NA,,0,0,0,000877,Error: No vehicle,,1985,5,10,8,4
,,NA,,0,0,0,000877,Error: No vehicle,,1985,5,10,8,4
,,NA,,0,0,0,000877,Error: No vehicle,,1985,5,10,8,4
,,NA,,0,0,0,000877,Error: No vehicle,,1985,5,10,8,4
,,NA,,0,0,0,000877,Error: No vehicle,,1985,5,10,8,4
,,NA,,0,0,0,000877,Error: No vehicle,,1985,5,10,8,4
,,NA,,0,0,0,000877,Error: No vehicle,,1985,5,10,8,4
,,NA,,0,0,0,000877,Error: No vehicle,,1985,5,10,8,4
,,NA,,0,0,0,000877,Error: No vehicle,,1985,5,10,8,4
,,NA,,0,0,0,000877,Error: No vehicle,,1985,5,10,8,4
,,NA,,0,0,0,000877,Error: No vehicle,,1985,5,10,8,4
,,NA,,0,0,0,000877,Error: No vehicle,,1985,5,10,8,4
CR-C Adventure,JLTS_Clone_P2_DC15A_501,INF,Recruit | Reserve | Guest@Recruit | Reserve | Guest,264.844,5832.9,0.00144196,002935,,JLTS_Clone_P2_DC15A_501,1985,5,10,8,4
,RD501_CIS_SHORAD,NA,,15168.3,3428.28,-0.00123978,151911,CX-C Sazi,JLTS_Clone_P2_DC15A_501,1985,5,10,8,4
,B_UAV_AI,NA,,15168.3,3428.28,2.49688,151911,Error: No vehicle,,1985,5,10,8,4
,RD501_homing_spider_droid_MKII,NA,,16834.8,4658.56,0.0859451,168923,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,8,4
,RD501_opfor_unit_B1_crew,NA,,16834.8,4658.56,4.21592,168923,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,8,4
,RD501_opfor_unit_B1_crew,NA,,16834.8,4658.56,4.21592,168923,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,8,4
,RD501_homing_spider_droid_Movable_MKII,NA,,14749.6,4088.67,0.0263519,147918,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,8,5
,RD501_opfor_unit_B1_crew,NA,,14749.6,4088.67,4.00126,147918,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,8,5
,RD501_opfor_unit_B1_crew,NA,,14749.6,4088.67,4.00126,147918,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,8,5
,,NA,,0,0,0,000877,Error: No vehicle,,1985,5,10,8,5
,RD501_homing_spider_droid_Movable_MKII,NA,,15665.1,4217.18,-0.104397,156919,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,8,6
,RD501_opfor_unit_B1_crew,NA,,15665.1,4217.18,4.00119,156919,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,8,6
,RD501_opfor_unit_B1_crew,NA,,15665.1,4217.18,4.00119,156919,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,8,6
,RD501_homing_spider_droid_Movable_MKII,NA,,15609.8,3683.89,-0.00255966,156913,CX-C Sazi,JLTS_Clone_P2_DC15A_501,1985,5,10,8,6
,RD501_opfor_unit_B1_crew,NA,,15609.8,3683.89,4.00162,156913,CX-C Sazi,JLTS_Clone_P2_DC15A_501,1985,5,10,8,6
,RD501_opfor_unit_B1_crew,NA,,15609.8,3683.89,4.00162,156913,CX-C Sazi,JLTS_Clone_P2_DC15A_501,1985,5,10,8,6
,RD501_Vulture,NA,,6848.53,4042.64,699.319,068917,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,8,7
,RD501_opfor_unit_B1_pilot,NA,,6848.94,4043.32,706.925,068917,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,8,7
,RD501_Vulture,NA,,6314.16,4663.86,1243.67,063923,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,8,8
,RD501_opfor_unit_B1_pilot,NA,,6315.71,4662.53,1250.59,063923,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,8,8
,RD501_Vulture,NA,,3009.57,2770.86,1047,030904,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,8,8
,RD501_opfor_unit_B1_pilot,NA,,3011.36,2771.64,1053.93,030904,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,8,8
,RD501_Vulture,NA,,1889.19,-1020.67,958.976,018866,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,8,10
,RD501_opfor_unit_B1_pilot,NA,,1888.54,-1019.55,966.661,018866,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,8,10
,RD501_drone_rep_stealth_heli,NA,,4078.62,5610.22,-1.58123,040933,CX-W Hobnob,JLTS_Clone_P2_DC15A_501,1985,5,10,8,13
,B_UAV_AI,NA,,4078.62,5610.22,0,040933,Error: No vehicle,,1985,5,10,8,13
,B_UAV_AI,NA,,4078.62,5610.22,0,040933,Error: No vehicle,,1985,5,10,8,13
,RD501_Vulture,NA,,10791.2,3811.52,92.2201,107915,CX-C Sazi,JLTS_Clone_P2_DC15A_501,1985,5,10,8,13
,RD501_opfor_unit_B1_pilot,NA,,10797.6,3823.08,98.5298,107915,CX-C Sazi,JLTS_Clone_P2_DC15A_501,1985,5,10,8,13
,RD501_Vulture,NA,,11327.7,4698.57,672.205,113924,CX-C Sazi,JLTS_Clone_P2_DC15A_501,1985,5,10,8,13
,RD501_opfor_unit_B1_pilot,NA,,11325.8,4698.8,679.337,113924,CX-C Sazi,JLTS_Clone_P2_DC15A_501,1985,5,10,8,13
,RD501_Vulture,NA,,10841.6,4503.66,772.11,108922,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,8,13
,RD501_opfor_unit_B1_pilot,NA,,10843.1,4505.21,777.491,108922,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,8,13
,RD501_opfor_unit_B1,NA,,14110.9,4869.49,0.00145054,141925,CT Nesvy,JLTS_Clone_P2_DC15A_501,1985,5,10,8,14
,RD501_opfor_unit_B1,NA,,14117.7,4879.65,0.00139976,141925,CT Deytow,JLTS_Clone_P2_DC15A_501,1985,5,10,8,14
,RD501_opfor_unit_B1,NA,,14117.9,4873.26,0.00141954,141925,CT Deytow,JLTS_Clone_P2_DC15A_501,1985,5,10,8,14
,RD501_opfor_unit_B1,NA,,14104.2,4881.65,0.0014658,141925,CM Lyssa,JLTS_Clone_P2_DC15A_501,1985,5,10,8,14
,RD501_opfor_unit_B1,NA,,14385.5,4876.54,0.0015192,143925,CT Adhock,JLTS_Clone_P2_DC15A_501,1985,5,10,8,14
,RD501_opfor_unit_B1,NA,,14389.6,4868.73,0.00145245,143925,CT Blade,JLTS_Clone_P2_DC15A_501,1985,5,10,8,14
,RD501_opfor_unit_B1,NA,,14393.5,4857.17,0.00149727,143925,CM-C Jeremy,JLTS_Clone_P2_DC15A_501,1985,5,10,8,14
,RD501_opfor_unit_B1,NA,,14395.9,4892.87,0.00152683,143926,CM-T Midnight,JLTS_Clone_P2_DC15A_501,1985,5,10,8,14
,RD501_Vulture,NA,,9625.03,613.035,80.4021,096883,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,8,14
,RD501_opfor_unit_B1_pilot,NA,,9623.06,614.163,85.9109,096883,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,8,14
,RD501_opfor_unit_B1_crew,NA,,14087.1,4788.85,2.46418,140925,CT Deytow,JLTS_Clone_P2_DC15A_501,1985,5,10,8,15
,RD501_opfor_unit_B1,NA,,13934,5403.78,0.0014801,139931,CS Rupert,JLTS_Clone_P2_DC15A_501,1985,5,10,8,15
,RD501_opfor_unit_B1_crew,NA,,14066.3,4806.9,3.13081,140925,CS Duke,JLTS_Clone_P2_DC15A_501,1985,5,10,8,15
